season,game_code,team_a_code,team_a_name,team_b_code,team_b_name,actual_quarter,final_score_a,final_score_b,total_plays,is_live
E2025,272,OLY,Olympiacos Piraeus,RED,Crvena Zvezda Meridianbet Belgrade,4,92,86,529,False
E2025,273,TEL,Maccabi Rapyd Tel Aviv,MUN,FC Bayern Munich,5,111,106,633,False
E2025,274,PAM,Valencia Basket,ASV,LDLC ASVEL Villeurbanne,4,82,67,529,False
E2025,275,BAR,FC Barcelona,PRS,Paris Basketball,4,74,85,615,False
E2025,276,PAR,Partizan Mozzart Bet Belgrade,MAD,Real Madrid,4,73,77,500,False
E2025,277,MCO,AS Monaco,BAS,Kosner Baskonia Vitoria-Gasteiz,4,102,92,573,False
E2025,278,MIL,EA7 Emporio Armani Milan,DUB,Dubai Basketball,4,78,96,480,False
E2025,279,PAN,Panathinaikos AKTOR Athens,ULK,Fenerbahce Beko Istanbul,4,83,85,546,False
E2025,280,ZAL,Zalgiris Kaunas,HTA,Hapoel IBI Tel Aviv,4,93,82,477,False
E2025,281,ULK,Fenerbahce Beko Istanbul,PAR,Partizan Mozzart Bet Belgrade,4,81,78,580,False
E2025,282,VIR,Virtus Bologna,BAR,FC Barcelona,4,85,80,511,False
E2025,283,ZAL,Zalgiris Kaunas,OLY,Olympiacos Piraeus,6,99,94,660,False
E2025,284,MCO,AS Monaco,TEL,Maccabi Rapyd Tel Aviv,4,86,91,602,False
E2025,285,BAS,Kosner Baskonia Vitoria-Gasteiz,PAM,Valencia Basket,4,79,108,587,False
E2025,286,RED,Crvena Zvezda Meridian Belgrade,IST,Anadolu Efes Istanbul,4,91,81,518,False
E2025,287,DUB,Dubai Basketball,ASV,LDLC ASVEL Villeurbanne,4,96,85,555,False
E2025,288,HTA,Hapoel IBI Tel Aviv,MIL,EA7 Emporio Armani Milan,4,92,86,528,False
E2025,289,PAN,Panathinaikos AKTOR Athens,PRS,Paris Basketball,4,99,104,616,False
E2025,290,MAD,Real Madrid,MUN,FC Bayern Munich,4,93,70,502,False
E2025,291,MIL,EA7 Emporio Armani Milan,BAR,FC Barcelona,4,87,84,502,False
E2025,292,ULK,Fenerbahce Beko Istanbul,MCO,AS Monaco,4,88,70,555,False
E2025,293,TEL,Maccabi Rapyd Tel Aviv,HTA,Hapoel IBI Tel Aviv,4,88,99,537,False
E2025,294,PAR,Partizan Mozzart Bet Belgrade,DUB,Dubai Basketball,4,88,74,511,False
E2025,295,MAD,Real Madrid,VIR,Virtus Bologna,4,92,84,544,False
E2025,296,PAM,Valencia Basket,ZAL,Zalgiris Kaunas,4,91,87,557,False
E2025,297,IST,Anadolu Efes Istanbul,ASV,LDLC ASVEL Villeurbanne,4,88,91,551,False
E2025,298,BAS,Kosner Baskonia Vitoria-Gasteiz,PRS,Paris Basketball,4,81,97,624,False
E2025,299,RED,Crvena Zvezda Meridianbet Belgrade,MUN,FC Bayern Munich,4,80,85,518,False
E2025,300,OLY,Olympiacos Piraeus,PAN,Panathinaikos AKTOR Athens,4,86,80,514,False
E2025,301,MUN,FC Bayern Munich,IST,Anadolu Efes Istanbul,4,80,81,480,False
E2025,302,PRS,Paris Basketball,ASV,LDLC ASVEL Villeurbanne,4,90,81,620,False
E2025,303,MAD,Real Madrid,PAM,Valencia Basket,4,96,79,583,False
E2025,304,VIR,Virtus Bologna,PAR,Partizan Mozzart Bet Belgrade,4,82,88,596,False
E2025,305,PAN,Panathinaikos AKTOR Athens,ZAL,Zalgiris Kaunas,4,92,88,578,False
E2025,306,MCO,AS Monaco,OLY,Olympiacos Piraeus,4,81,80,510,False
E2025,307,RED,Crvena Zvezda Meridianbet Belgrade,ULK,Fenerbahce Beko Istanbul,4,79,73,630,False
E2025,308,DUB,Dubai Basketball,BAS,Kosner Baskonia Vitoria-Gasteiz,4,100,94,631,False
